player,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,,,,,,,,,influence,creativity,threat,iCTIndex
Hazard,1,HUD (A) 0-3,4,14,0,1,0,0,0,0,0,0,0,0,0,21,23.8,13.8,10,4.8
Hazard,2,ARS (H) 3-2,4,29,0,1,0,0,0,0,0,0,0,0,0,15,26.4,35.3,29,9.1
Hazard,3,NEW (A) 1-2,8,90,1,0,0,1,0,0,0,0,0,0,1,23,40,37.3,59,13.6
Hazard,4,BOU (H) 2-0,11,90,1,0,1,0,0,0,0,0,0,0,3,36,52.8,67,47,16.7
Hazard,5,CAR (H) 4-1,20,83,3,0,0,1,0,0,0,0,0,0,3,71,111.6,30.7,69,21.1
Hazard,6,WHU (A) 0-0,3,90,0,0,1,0,0,0,0,0,0,0,0,-1,12.2,19.3,47,7.9
Hazard,7,LIV (H) 1-1,10,90,1,0,0,1,0,0,0,0,0,0,3,32,51.4,43.9,38,13.3
Hazard,8,SOU (A) 0-3,14,90,1,1,1,0,0,0,0,0,0,0,3,48,62.4,66.3,97,22.6
Hazard,9,MUN (H) 2-2,1,90,0,0,0,2,0,0,0,1,0,0,0,8,17.6,72.6,55,14.5
Hazard,10,BUR (A) 0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hazard,11,CRY (H) 3-1,4,26,0,1,0,0,0,0,0,0,0,0,0,18,22,31.6,0,5.4
Hazard,12,EVE (H) 0-0,3,90,0,0,1,0,0,0,0,0,0,0,0,20,22,56.8,24,10.3
Hazard,13,TOT (A) 3-1,1,90,0,0,0,3,0,0,0,1,0,0,0,11,14,34.9,21,7
Hazard,14,FUL (H) 2-0,6,90,0,1,1,0,0,0,0,0,0,0,0,23,33.2,33.3,48,11.5
Hazard,15,WOL (A) 2-1,5,90,0,1,0,2,0,0,0,0,0,0,0,25,33,73.6,55,16.2
Hazard,16,MCI (H) 2-0,9,89,0,2,1,0,0,0,0,0,0,0,0,22,37.8,26.3,2,6.6
Hazard,17,BHA (A) 1-2,13,82,1,1,0,1,0,0,0,0,0,0,3,42,59,38.5,37,13.5
Hazard,18,LEI (H) 0-1,2,90,0,0,0,1,0,0,0,0,0,0,0,8,20.8,18.8,73,11.3
Hazard,19,WAT (A) 1-2,15,90,2,0,0,1,0,0,0,0,0,0,3,45,81.8,34.1,63,17.9
Hazard,20,CRY (A) 0-1,3,90,0,0,1,0,0,0,0,0,0,0,0,15,16.4,44.9,16,7.7
Hazard,21,SOU (H) 0-0,3,90,0,0,1,0,0,0,0,0,0,0,0,11,19.8,55.7,78,15.4
Hazard,22,NEW (H) 2-1,5,86,0,1,0,1,0,0,0,0,0,0,0,13,22,16,24,6.2
Hazard,23,ARS (A) 2-0,2,90,0,0,0,2,0,0,0,0,0,0,0,1,1.2,17,21,3.9
Hazard,24,BOU (A) 4-0,2,90,0,0,0,4,0,0,0,0,0,0,0,16,24.2,64.3,48,13.7
Hazard,25,HUD (H) 5-0,15,76,2,0,1,0,0,0,0,0,0,0,2,57,85,19.8,73,17.8
Hazard,26,MCI (A) 6-0,2,90,0,0,0,6,0,0,0,0,0,0,0,14,11,35.3,28,7.4
Hazard,28,TOT (H) 2-0,1,59,0,0,0,0,0,0,0,0,0,0,0,5,5.2,16.5,2,2.4
Hazard,29,FUL (A) 1-2,6,73,0,1,0,1,0,0,0,0,0,0,1,25,30.4,36.4,86,15.3
Hazard,30,WOL (H) 1-1,10,90,1,0,0,1,0,0,0,0,0,0,3,32,50,42.3,17,10.9
Hazard,31,EVE (A) 2-0,2,90,0,0,0,2,0,0,0,0,0,0,0,14,16.8,38.9,51,10.7
Hazard,32,CAR (A) 1-2,1,37,0,0,0,0,0,0,0,0,0,0,0,12,10.4,20.6,10,4.1
Hazard,32,BHA (H) 3-0,14,83,1,1,1,0,0,0,0,0,0,0,3,46,63,56.8,33,15.3
Hazard,33,WHU (H) 2-0,16,90,2,0,1,0,0,0,0,0,0,0,3,58,91.8,66.4,69,22.7
Hazard,34,LIV (A) 2-0,2,90,0,0,0,2,0,0,0,0,0,0,0,-1,13.4,4.3,61,7.9
Hazard,35,BUR (H) 2-2,7,90,0,1,0,2,0,0,0,0,0,0,2,28,35,62.6,49,14.7
