player,week,opponent,points,minutes,goal,assist,cleanSheet,goalsConceded,influence,creativity,threat,iCTIndex
Salah,1,WHU (H) 4-0,8,86,1,0,1,0,47.6,29,92,16.9
Salah,2,CRY (A) 0-2,9,90,0,2,1,0,30.6,41.5,81,15.3
Salah,3,BHA (H) 1-0,8,90,1,0,1,0,49,72,82,20.3
Salah,4,LEI (A) 1-2,2,70,0,0,0,1,5,12.5,23,4.1
Salah,5,TOT (A) 1-2,2,90,0,0,0,1,16,31.8,74,12.2
Salah,6,SOU (H) 3-0,8,90,1,0,1,0,34,2.9,60,9.7
Salah,7,CHE (A) 1-1,2,65,0,0,0,1,9.4,25.7,40,7.5
Salah,8,MCI (H) 0-0,3,90,0,0,1,0,0,1.9,31,3.3
Salah,9,HUD (A) 0-1,8,90,1,0,1,0,43,12.5,76,13.2
Salah,10,CAR (H) 4-1,15,90,1,2,0,1,72.4,45.8,56,17.4
Salah,11,ARS (A) 1-1,2,90,0,0,0,1,12.8,53.7,49,11.6
Salah,12,FUL (H) 2-0,8,90,1,0,1,0,41.6,6.3,83,13.1
Salah,13,WAT (A) 0-3,8,85,1,0,1,0,39.8,4,40,8.4
Salah,14,EVE (H) 1-0,3,74,0,0,1,0,6,49.5,9,6.5
Salah,15,BUR (A) 1-3,4,25,0,1,0,0,28.4,35.3,56,12
Salah,16,BOU (A) 0-4,21,90,3,0,1,0,107,28.9,83,21.9
Salah,17,MUN (H) 3-1,2,90,0,0,0,1,9.8,43.5,29,8.2
Salah,18,WOL (A) 0-2,12,90,1,1,1,0,64.8,40.8,103,20.9
Salah,19,NEW (H) 4-0,12,90,1,1,1,0,52.2,32,31,11.5
Salah,20,ARS (H) 5-1,12,90,1,1,0,1,55.4,26.4,61,14.3
Salah,21,MCI (A) 2-1,2,90,0,0,0,2,6.4,16.8,23,4.6
Salah,22,BHA (A) 0-1,11,90,1,0,1,0,46.4,35.4,52,13.4
Salah,23,CRY (H) 4-3,15,90,2,0,0,2,73.2,21,68,16.2
Salah,24,LEI (H) 1-1,2,90,0,0,0,1,3.4,15.8,40,5.9
Salah,25,WHU (A) 1-1,2,90,0,0,0,1,7.6,13.8,48,6.9
Salah,26,BOU (H) 3-0,8,90,1,0,1,0,43.2,38,63,14.4
Salah,27,MUN (A) 0-0,3,78,0,0,1,0,0.2,4,13,1.7
Salah,28,WAT (H) 5-0,3,90,0,0,1,0,15.8,9.7,67,9.3
Salah,29,EVE (A) 0-0,3,90,0,0,1,0,11.2,12.8,46,7
Salah,30,BUR (H) 4-2,5,90,0,1,0,2,9,35.4,60,10.4
Salah,31,FUL (A) 1-2,2,90,0,0,0,1,4.8,5.6,66,7.6
Salah,32,TOT (H) 2-1,5,90,0,1,0,1,0,2,63,6.2
Salah,33,SOU (A) 1-3,6,90,1,0,0,1,37.2,32.2,51,12
Salah,34,CHE (H) 2-0,8,89,1,0,1,0,57.2,51.8,89,19.8
Salah,35,CAR (A) 0-2,6,90,0,1,1,0,14.8,8.4,55,7.8
